Label	FreeRTOS_wo_Load	FreeRTOS_w_Load
2,64	0	0
2,66	14,33333333	17,09401709
2,68	19	15,26251526
2,7	0	0
2,72	4,888888889	6,95970696
2,74	17,22222222	14,77411477
2,76	0,111111111	0,244200244
2,78	0	0
2,8	0	0
2,82	0	0,122100122
2,84	0	0
2,86	0	0
2,88	0	0
2,9	0	0
2,92	0	0
2,94	0	0
2,96	2,888888889	7,936507937
2,98	8,222222222	18,55921856
3	0	6,715506716
3,02	0	0,122100122
3,04	6,888888889	7,203907204
3,06	15,33333333	4,029304029
3,08	0	0
3,1	1,222222222	0
3,12	9,777777778	0
3,14	0,111111111	0
3,16	0	0
3,18	0	0
3,2	0	0
3,22	0	0,122100122
