Label	FreeRTOS_wo_Load	FreeRTOS_w_Load	uCOS_wo_Load	uCOS_w_Load
8,16	0	0	0	0
8,18	0	0	0,07800312	0
8,2	0	0	0	0
8,22	0	0	0	0
8,24	0	0	13,41653666	0
8,26	0	0	30,03120125	0
8,28	0	0	19,42277691	0
8,3	0	0	14,50858034	0
8,32	0	0	7,410296412	0
8,34	0	0	7,020280811	0
8,36	0	0	6,31825273	0
8,38	0	0	0,624024961	0
8,4	0	0	0	0
8,42	0	0	0	0
8,44	0	0	0	0
8,46	0	0	0	0
8,48	0	0	0	0
8,5	0	0	0	0
8,52	0	0	0,07800312	0
8,54	0	0	0,07800312	0
8,56	0	0	0	0
8,58	0	0	0	0
8,6	0	0	0	0
8,62	0	0	0	0
8,64	0	0	0	0
8,66	0	0	0	0
8,68	0,077041602	0	0	0
8,7	4,237288136	0	0,07800312	0
8,72	22,88135593	0	0,07800312	0
8,74	64,94607088	0	0	18,11288964
8,76	6,086286595	0	0	27,63268745
8,78	0	0	0	18,53411963
8,8	0	0	0,07800312	9,182813816
8,82	0	0	0	8,761583825
8,84	0	0	0	8,50884583
8,86	0	0	0	7,413647852
8,88	0	0	0	0,421229992
8,9	0	0	0	0,084245998
8,92	0	0	0	0
8,94	0	0	0	0
8,96	0	0	0	0,084245998
8,98	0	0	0	0
9	0	0	0	0
9,02	0	0	0	0
9,04	0	0	0	0
9,06	0	0	0	0
9,08	0	0	0	0
9,1	0	0	0	0,084245998
9,12	0	0	0	0
9,14	0	0	0	0
9,16	0	0,086206897	0	0
9,18	0	27,5	0	0
9,2	0	60,34482759	0	0
9,22	0	3,448275862	0	0
9,24	0	0	0	0
9,26	0,077041602	0,172413793	0	0
9,28	0	0,775862069	0,07800312	0
9,3	0	4,827586207	0	0
9,32	0	1,206896552	0	0
9,34	0	0	0,07800312	0
9,36	0	0	0	0
9,38	0	0	0	0
9,4	0	0	0,07800312	0
