Label	FreeRTOS_wo_Load	FreeRTOS_w_Load	uCOS_wo_Load	uCOS_w_Load
0,76	0	0	0	0
0,78	0	0	12,403698	0
0,8	0	0	23,65177196	0
0,82	0	0	18,56702619	0
0,84	23,55212355	0	6,779661017	0
0,86	28,95752896	0	6,779661017	0
0,88	36,6023166	0	8,166409861	0
0,9	1,081081081	0	8,012326656	0
0,92	0,077220077	0	3,312788906	0
0,94	0,231660232	0	0,231124807	0
0,96	0	0	0	0
0,98	0,386100386	0	0,077041602	0
1	3,783783784	0	0,30816641	0
1,02	3,243243243	0	1,848998459	0
1,04	1,853281853	0	3,620955316	0
1,06	0	0	1,232665639	0
1,08	0,077220077	0	1,155624037	0
1,1	0,077220077	0	0,693374422	0
1,12	0	0	0,462249615	0
1,14	0	0	1,001540832	0
1,16	0	0	0,154083205	0
1,18	0	0	0	0
1,2	0	0	0,154083205	0
1,22	0	0	0	0,545596259
1,24	0	0	0	18,70615744
1,26	0	0	0	26,89010133
1,28	0	0	0	10,9898675
1,3	0	0	0,077041602	8,028059236
1,32	0	17,07731521	0	8,41777085
1,34	0	32,54035684	0,077041602	7,482462977
1,36	0	38,14783347	0	5,611847233
1,38	0	1,784197111	0,077041602	2,02650039
1,4	0	0,169923534	0	0
1,42	0	0,084961767	0	0
1,44	0	0	0,077041602	0
1,46	0	0	0	0
1,48	0	0	0	0
1,5	0	0,084961767	0	0,467653936
1,52	0	0	0	2,727981294
1,54	0,077220077	0	0,077041602	1,948558067
1,56	0	2,548853016	0	1,948558067
1,58	0	3,313508921	0	0,935307872
1,6	0	3,823279524	0	1,091192518
1,62	0	0,339847069	0	0,857365549
1,64	0	0	0,077041602	0,311769291
1,66	0	0	0	0,389711613
1,68	0	0	0	0
1,7	0	0	0	0
1,72	0	0	0	0
1,74	0	0	0,077041602	0
1,76	0	0	0	0
1,78	0	0,084961767	0	0,155884645
1,8	0	0	0	0
1,82	0	0	0	0,077942323
1,84	0	0	0,077041602	0
