Label	Headed	Headless	HeadlessPrio
100	0	0	0,050787202
100,5	0	0	0
101	0	0	0
101,5	0	0	0
102	0	0	0
102,5	0	0	0
103	0	0	0
103,5	0	0	0
104	0	0	1,57440325
104,5	0	0	19,70543423
105	0	0	40,5789741
105,5	0	0	21,17826308
106	0	0	5,63737938
106,5	0	0,357142857	2,18384967
107	0	1,071428571	1,625190452
107,5	0	14,79591837	0,711020823
108	0	40,15306122	0,253936008
108,5	0	23,67346939	0,101574403
109	0	8,87755102	0,203148807
109,5	0	2,704081633	0,101574403
110	0	1,785714286	0
110,5	0	0,663265306	0
111	0	0,153061224	0
111,5	0	0,255102041	0,101574403
112	0	0,204081633	0,152361605
112,5	0	0,051020408	0,457084815
113	0	0,051020408	1,168105637
113,5	0	0	1,168105637
114	0	0,051020408	1,117318436
114,5	0	0,153061224	0,507872016
115	0	0,153061224	0,60944642
115,5	0	0,306122449	0,507872016
116	0	0,765306122	0,050787202
116,5	0	1,275510204	0,101574403
117	0	0,969387755	0,152361605
117,5	0	0,918367347	0
118	0,510204082	0,357142857	0
118,5	0,765306122	0,204081633	0
119	1,275510204	0,051020408	0
119,5	2,806122449	0	0
120	8,163265306	0	0
120,5	7,142857143	0	0
121	7,908163265	0	0
121,5	11,47959184	0	0
122	9,693877551	0	0
122,5	10,71428571	0	0
123	11,73469388	0	0
123,5	7,653061224	0	0
124	4,336734694	0	0
124,5	3,826530612	0	0
125	2,040816327	0	0
125,5	1,020408163	0	0
126	1,275510204	0	0
126,5	0,255102041	0	0
127	0,765306122	0	0
127,5	0,510204082	0	0
128	0,510204082	0	0
128,5	0,765306122	0	0
129	0,255102041	0	0
129,5	0	0	0
130	0,255102041	0	0
130,5	0	0	0
131	0,510204082	0	0
131,5	0	0	0
132	0,255102041	0	0
132,5	0,255102041	0	0
133	0	0	0
133,5	0	0	0
134	0,255102041	0	0
134,5	0,510204082	0	0
135	0,255102041	0	0
135,5	0,255102041	0	0
136	0	0	0
