Label	FreeRTOS	uCOS
1	3,1	14,84
2	3,04	14,86
3	2,74	14,82
4	3,04	14,82
5	2,68	14,82
6	2,74	14,84
7	2,68	14,8
8	2,66	14,82
9	1,56	1,76
10	2,98	14,76
11	1,56	1,8
12	3,12	14,82
13	3,06	14,82
14	2,74	14,82
15	3,06	14,8
16	2,68	14,8
17	2,74	14,8
18	2,68	14,8
19	2,68	14,82
20	1,56	1,78
21	2,98	14,74
22	1,56	1,78
23	3,12	14,82
24	3,06	14,84
25	2,74	14,8
26	3,06	14,82
27	2,68	14,8
28	2,72	14,82
29	2,66	14,82
30	2,68	14,82
31	1,56	1,78
32	2,96	14,76
33	1,56	1,78
34	3,1	14,82
35	3,04	14,84
36	2,74	14,82
37	3,06	14,8
38	2,68	14,8
39	2,74	14,82
40	2,66	14,82
41	2,68	14,82
42	1,56	1,78
43	2,98	14,76
44	1,56	1,78
45	3,12	14,82
46	3,04	14,86
47	2,74	14,8
48	3,06	14,8
49	2,66	14,82
50	2,72	14,82
