Label	Headed	Headless
40	0	0
41	0,833333333	0
42	0	0
43	0,277777778	8,436213992
44	1,388888889	36,83127572
45	7,5	13,58024691
46	8,888888889	6,172839506
47	10	3,497942387
48	2,777777778	2,469135802
49	2,222222222	1,851851852
50	2,5	2,469135802
51	2,777777778	3,29218107
52	2,222222222	9,87654321
53	1,388888889	3,29218107
54	3,611111111	1,028806584
55	4,444444444	0,617283951
56	4,166666667	0,823045267
57	2,222222222	0,617283951
58	2,777777778	0,205761317
59	1,944444444	0
60	1,388888889	0
61	1,388888889	0
62	0,277777778	0
63	1,111111111	0
64	1,111111111	0
65	1,666666667	0
66	0,277777778	0
67	1,111111111	0
68	1,111111111	0
69	1,388888889	0
70	0,555555556	0
71	0,833333333	0
72	1,388888889	0
73	0,833333333	0
74	0,833333333	0,205761317
75	1,111111111	0
76	0,555555556	0
77	0,555555556	0,205761317
78	0,277777778	0
79	1,111111111	0
80	0,555555556	0
81	0,555555556	0
82	0,833333333	0
83	0,555555556	0,205761317
84	0	0
85	0,555555556	0,617283951
86	0,277777778	1,234567901
87	0	0,617283951
88	0,555555556	0
89	0	0
90	0	0
91	0,277777778	0
92	0,555555556	0
93	0,833333333	0
94	0,277777778	0
95	0,555555556	0
96	0	0
97	0,277777778	0
98	0	0
99	0,277777778	0
100	0,833333333	0
101	0,277777778	0
102	0,277777778	0,205761317
103	0,277777778	0,617283951
104	0,277777778	0,617283951
105	0,555555556	0,205761317
