Sample   	CK0   	A3     	A2     	A2(7)	A2(6)	A2(5)	A2(4)	A2(3)	A2(2)	A2(1)	A2(0)	              Timestamp
        0	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	                   0 ps
        1	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
        2	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
        3	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
        4	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
        5	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
        6	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
        7	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
        8	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
        9	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       10	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       11	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       12	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       13	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       14	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       15	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       16	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       17	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       18	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       19	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       20	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       21	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       22	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       23	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       24	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       25	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       26	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       27	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       28	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       29	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       30	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       31	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       32	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       33	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       34	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       35	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       36	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       37	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       38	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       39	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       40	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       41	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       42	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       43	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       44	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
