"Bill of Material for "
"On 2017. 02. 09. at 0:29:44"

"Comment","Pattern","Quantity","Components"

"0.1u/16V","CA","1","C28",""
"0.1u","0805C","1","C32",""
"10","0805R","10","R12, R35, R36, R48, R49, R50, R51, R52, R59, R60",""
"100n","0805C","20","C1, C4, C5, C10, C11, C12, C13, C14, C15, C17, C18, C20, C21, C22, C24, C25, C26, C31, C33, C35",""
"100p","0805C","3","C3, C34, C36",""
"10k","0805R","1","R9",""
"10k","TRIM_POT","1","R77",""
"10u/16V","CA","2","C19, C30",""
"1k8","0805R","2","R33, R34",""
"1n","0805C","1","C16",""
"1u/16V","CA","4","C7, C8, C9, C29",""
"1u","0805C","2","C2, C6",""
"1u","CA","2","C23, C27",""
"1uH","0805L","1","L1",""
"22","0805R","40","R4, R5, R7, R10, R11, R13, R14, R15, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R37, R38, R39, R40, R46, R47, R53, R54, R69, R70, R71, R72, R73, R74, R75, R76",""
"270","0805R","1","R55",""
"2k7","0805R","7","R8, R16, R42, R43, R44, R45, R57",""
"2N7002","SOT23","9","Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",""
"390","0805R","1","R56",""
"3k3","0805R","2","R41, R58",""
"47k","0805R","8","R61, R62, R63, R64, R65, R66, R67, R68",""
"4k7","0805R","3","R2, R3, R6",""
"5","0805R","1","R1",""
"ADS7924","QFN16 - HAND","1","U1",""
"BLE112","BLE112","1","U2",""
"BNC","BNC_THD","1","CON15",""
"CCDEBUG","HDR2X5_CC","1","CON3",""
"DC_Jack","DC_JACK","1","CON16",""
"DPDT Switch","DPDT","2","SW1, SW2",""
"HDR1X1","HDR1X1","1","CON12",""
"HDR1X10","HDR1X10RAST","4","CON4, CON5, CON6, CON7",""
"HDR1X11","HDR1X11RAST","1","CON19",""
"HDR1X2","HDR1X2RAST","6","CON1, CON8, CON9, CON10, CON11, CON14",""
"HDR1X3","HDR1X3RAST","2","CON2, CON17",""
"HDR1X6","HDR1X6RAST","1","CON13",""
"IRLR024","TO-252AA","1","Q10",""
"LED","0805LED","10","D1, D2, D3, D4, D5, D6, D7, D8, D9, D10",""
"LM317","DPAK-3","1","U3",""
"MCP9700A","TO-92","1","U4",""
"Multifuse","1210FUSE","1","F1",""
"SDCard","SDCard","1","CON18",""
